Timestamp	Filename	Error	Message
2013-05-28 12:58:13.657 -0400	VirtualSort.fmp12	0	Import of scripts from clipboard started
2013-05-28 12:58:13.677 -0400	VirtualSort.fmp12	0	Script “README” imported as “README 2” since a script named “README” already exists.
2013-05-28 12:58:13.678 -0400	-	0	script steps imported : 0
2013-05-28 12:58:13.681 -0400	README 2	0	script steps imported : 69
2013-05-28 12:58:13.682 -0400	-	0	script steps imported : 0
2013-05-28 12:58:13.683 -0400	VirtualSort.fmp12	0	scripts imported : 3
2013-05-28 12:58:13.683 -0400	VirtualSort.fmp12	0	Import completed
2013-05-28 12:58:41.180 -0400	VirtualSort.fmp12	0	Import of scripts from clipboard started
2013-05-28 12:58:41.183 -0400	-	0	script steps imported : 0
2013-05-28 12:58:41.186 -0400	Virtual Value List: README	0	script steps imported : 72
2013-05-28 12:58:41.187 -0400	-	0	script steps imported : 0
2013-05-28 12:58:41.188 -0400	VirtualSort.fmp12	0	scripts imported : 3
2013-05-28 12:58:41.188 -0400	VirtualSort.fmp12	0	Import completed
2013-05-28 13:00:25.128 -0400	VirtualSort.fmp12	0	Import of script steps from clipboard started
2013-05-28 13:00:25.130 -0400	Virtual Sort: README	0	script steps imported : 1
2013-05-28 13:00:25.130 -0400	VirtualSort.fmp12	0	Import completed
2013-05-28 13:03:27.223 -0400	VirtualSort.fmp12	0	Import of script steps from clipboard started
2013-05-28 13:03:27.226 -0400	Virtual Sort: README	0	script steps imported : 1
2013-05-28 13:03:27.226 -0400	VirtualSort.fmp12	0	Import completed
